"batch_id","last_chng_mn_usid","last_chng_dt","load_table","stat_code","item_code","data_cycle"
BAR10060,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013","000000",A
BAR10061,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013","000000",M
BAR10062,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013","000000",Q
BAR10063,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF22000000,A
BAR10064,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF22000000,M
BAR10065,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF22000000,Q
BAR10066,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF21000000,A
BAR10067,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF21000000,M
BAR10068,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF21000000,Q
BAR10069,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF12000000,A
BAR10070,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF12000000,M
BAR10071,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF12000000,Q
BAR10072,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF11000000,A
BAR10073,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF11000000,M
BAR10074,"8150918",2023-10-06 09:21:51.281,MKBSSD,"301Y013",BOPF11000000,Q
BAR10075,"8150918",2023-10-06 09:21:51.281,MKBSSD,"311Y004",A000000,A
BAR10076,"8150918",2023-10-06 09:21:51.281,MKBSSD,"311Y004",A000000,Q
BAR10077,"8150918",2023-10-06 09:21:51.281,MKBSSD,"311Y005",B000000,A
BAR10078,"8150918",2023-10-06 09:21:51.281,MKBSSD,"311Y005",B000000,Q
BAR10079,"8150918",2023-10-06 09:21:51.281,MKBSSD,"731Y001","0000002",D
BAR10080,"8150918",2023-10-06 09:21:51.281,MKBSSD,"731Y001","0000003",D
BAR10081,"8150918",2023-10-06 09:21:51.281,MKBSSD,"731Y003","0000003",D
BAR10082,"8150918",2023-10-06 09:21:51.281,MKBSSD,"731Y003","0000010",D
BAR10083,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y001",*AA,A
BAR10084,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y001",*AA,M
BAR10085,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y001",*AA,Q
BAR10086,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y003",*AA,A
BAR10087,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y003",*AA,M
BAR10088,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y003",*AA,Q
BAR10089,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y005",B,A
BAR10090,"8150918",2023-10-06 09:21:51.281,MKBSSD,"403Y005",B,M
